name,genres,year,url,description
Двенадцать королевств, Приключения  Сверхъестественное  Сэйнэн  Фэнтези,2002,https://animestars.org/aniserials/video/adventure/904-dvenadcat-korolevstv.html,"Существует параллельный мир, о чём расскажет аниме «Двенадцать королевств». Эта вселенная существует между двумя гранями реальности. Именно здесь, все окружающие люди живут по правилам пророчества, Конфуций становиться главным отцом случившегося. Оказывается, все живут по правилам, что дети рождаются с плодов, а силой наделен тот, кому улыбаются небеса. Священный зверь Кирин, сможет..."
Дворянство, Экшен  Вампиры  Сверхъестественное  Сёнэн  Фэнтези  Школа,2020,https://animestars.org/aniserials/video/action/898-dvorjanstvo.html,"Возложить на себя гору ответственности за весь вампирский род предстоит нашему главного герою по имени Райзел. Давайте вы не будете меня заставлять писать его полное имя. Вы же не хотите сломать язык, правда? Так вот, парень проспал целых 800 лет. Никто не знает, почему волею судеб он проснулся только сейчас. Не трудно было догадаться о том, что Райзел чистейший вампир. Он, не..."
Двуличная сестрёнка Умару 1 сезон, Комедия  Повседневность  Сэйнэн  Школа,2015,https://animestars.org/aniserials/video/comedy/474-dvulichnaya-sestrenka-umaru-1-sezon.html,"Характер у людей бывает разные. Иногда, слишком разный. В одной компании людей можно встретить настолько разных людей, что потом будете удивляться тому, как мир преподносит столько сюрпризов. Вот, разговор с одним человеком вызывает скуку из-за его неразговорчивости и застенчивости, как с другим, буря эмоций из-за его открытости и любви к разговору на разные темы. Не стоит забывать..."
Двуличная сестрёнка Умару 2 сезон, Комедия  Повседневность  Сэйнэн  Школа,2017,https://animestars.org/aniserials/video/comedy/475-dvulichnaya-sestrenka-umaru-2-sezon.html,"А теперь поднимите руку и скажите мне, кто из вас не мечтал о миленькой младшей сестренке? Ну так, только честно. Рискну предположить, что такие найдутся. Тайхэй, несомненно, очень обрадовался, когда его младшая сестра, Умару, выросла умницей и красавицей, на которую хотят ровняться все. Каждый её поступок может заставить любого умиляться, а за её улыбку и говорить не хочется, там..."
Девичьи воздушные силы, Экшен  Комедия  Романтика  Фантастика,2019,https://animestars.org/aniserials/video/action/874-devichi-vozdushnye-sily.html,"Ничего не предвещало беды. Внезапное нашествие неизвестных аппаратов, вовсе не с нашего мира, позволяет уничтожить все запасы человечества, вплоть до артиллерии. В аниме «Девичьи воздушные силы», видно, как государства пытаются встретиться с преступниками, они разрабатывают и усовершенствуют орудие, о котором ранее никто не догадывался. Для борьбы с «Дзай», так назвали самолеты с..."
Девочка-волшебница Орэ, Комедия  Пародия  Повседневность  Фэнтези,2018,https://animestars.org/aniserials/video/comedy/275-devochka-volshebnica-ore.html,"Саки Уно всегда мечтала стать идолом. В своих волшебных снах Саки боролась с ужасными демонами, и ее носил на руках галантный парень в плаще. В реальной же жизни она ходила в обычную школу и мало чем отличалась от своих пятнадцатилетних сверстниц. Саки увлекалась музыкой и даже организовала группу со своей подругой Сакуё. Но у девушек ни то, что нет поклонников, их вообще никто не..."
Девушка на час, Комедия  Романтика  Сёнэн  Школа,2020,https://animestars.org/aniserials/video/comedy/807-devushka-na-chas.html,"Пережить расставание с близким человеком – тяжело. Спорить бессмысленно. Внутри каждого из нас бушует пожар. Ты хочешь его потушить, но с привеликим сожалением осознаешь и утопаешь в отчаянии. Тебе не хочется ничего, стараешься забыть, не можешь забыть, в дело вступает алкоголь… Очень сложно описать все те эмоции, которые переживает человек во время разрыва отношений. Хотя, если на..."
Девушка-сэнрю, Комедия  Повседневность  Сёнэн  Школа,2019,https://animestars.org/aniserials/video/comedy/426-devushka-senryu.html,"Сэнрю… Окей, Гугл. Жанр, возникший в период Эдо. Ай, история, не люблю историю. Хотя, тут она очень даже к месту. Всё аниме будет крутиться вокруг сэнрю и это было бы не Аниме, если бы всё было так просто и понятно. Старшеклассникам, порой, сложно выражать свои мысли, а если их еще и воспринимать нужно, то беда. Раз нужно воспринимать, ничего не поделать. С нашей главной героиней..."
Девушки в последнем путешествии, Детектив  Повседневность  Приключения  Сэйнэн  Фантастика,2017,https://animestars.org/aniserials/video/detective/751-devushki-v-poslednem-puteshestvii.html,"Будущее для нас туманно. Ты никогда не можешь быть уверенным на сто процентов в своём завтрашнем дне. Быть может, завтра изобретут нечто очень интересное. Это самое интересное изменит жизнь человечества навсегда. И снова мы вспоминаем вчерашний день, когда машины ездили на колесах, а сегодня, ты сел в машину и она полетела в другой город на твою работу. Ты не используешь руль,..."
Девушки и танки, Экшен  Война  Спорт  Школа,2012,https://animestars.org/aniserials/video/action/730-devushki-i-tanki.html,"События принимают очень интересный оборот, когда нашей главной героине предлагают поучаствовать в танковых соревнованиях. Очень необычное предложение для девушки. Михо Нисидзуми очень общительна. Девушка очень легко заводит друзей. Она всегда старается быть на виду и заводить друзей. Это и стало причиной, почему её выбрали для участия в соревнованиях на танках. Для этих задач лучших..."
Девушки-пони: Славное дерби, Кемонобито  Повседневность  Спорт,2018,https://animestars.org/aniserials/video/kemonobito/298-devushki-poni-slavnoe-derbi.html,"Мир, который будет в центре нашего внимания, покажет людей, живущих среди девочек-лошадей. Главная героиня – девочка-лошадь. Ее зовут «Особая неделя». Она приехала в большой город для учебы в академии. «Академия Трассон» – очень престижная академия и в нее принимают только тех, кто может быть допущен на соревнования. «Особая неделя» такая быстрая, что даже может обогнать автомобиль,..."
Девчонка не промах, Комедия  Романтика  Сэйнэн  Школа,2018,https://animestars.org/aniserials/video/comedy/410-devchonka-ne-promah.html,"Сейчас каждый школьник Японии может поиграть в видеоигры на компьютере, но единственным развлечением в 1991 году были 2D-игры. Мальчишки и девчонки массово начали посещать специальные клубы, в которых стояли игровые автоматы. Со временем подобные заведения начали наполняться взрослыми игроками. Между фанатами аркад зарождалось небывалое соперничество, но переиграть Харуо Ягучи никто..."
Девять золушек в августе, Повседневность  Спорт  Школа,2019,https://animestars.org/aniserials/video/natural/457-devyat-zolushek-v-avguste.html,"Парнишка с детства был болен бейсболом. Он, не представлял, что существуют люди, которые вовсе не знаются на спорте, не могут контролировать себя и просто бессмысленно прогуливают жизнь, тратя драгоценное время в пустую. Для своей категории, юноша является настоящим чемпионом, он может посоревноваться с теми, кто в разы сильнее него и азартней. Каждый последующий план воплощается в..."
Дека-данс, Экшен  Приключения  Фантастика,2020,https://animestars.org/aniserials/video/action/794-deka-dans.html,"Нацумэ — очень смелая девочка с взрывным характером. У нее светлые волосы, короткая прическа и яркая внешность. Нацумэ живет в пост апокалиптическом мире. В этом мире люди оградили себя от ужасных существ. Была построена крепость высотой три тысячи метров. Ее назвали ""Дека-денс"". Эта крепость передвижная. Последние выжившие на земле люди скрываются за высокими стенами этой крепости,..."
Деми хотят поболтать, Вампиры  Комедия  Мистика  Сэйнэн  Школа,2017,https://animestars.org/aniserials/video/vampires/7-demi-hotyat-poboltat.html," Однажды молодой учитель Такахащи узнал новость, которая поразила его до глубины души. Оказывается, что среди обычных людей действительно есть полу люди и это не выдумка. Такахащи стал просто одержим идеей узнать побольше о «полулюдах» и стал чуть ли не в каждом искать их признаки. Кто знает, может быть, на этой почве он сошел бы с ума, но ему подвернулась возможность преподавать в..."
Демоны старшей школы, Гарем  Драма  Комедия  Мистика  Приключения  Романтика  Сёнэн  Фэнтези  Школа  Этти,2012,https://animestars.org/aniserials/video/garem/171-demony-starshey-shkoly.html," Кто не хотел себе Гарем? Думаю многие, и Иссэй Хёдо не исключение! Он надеялся, что поступив в старшую школу для девушек, он сможет воистину насладиться ихним вниманием и все таки создать свой собственный гарем. Разочарование настигло его очень быстро, ведь в школе его сразу признали извращенцем и похотливым маньяком. О первой красавице школы можно вообще не упоминать. Риас Гремори..."
Демоны старшей школы 2 сезон, Вампиры  Гарем  Гендерная интрига  Комедия  Мистика  Приключения  Романтика  Сёнэн  Фэнтези  Школа  Этти,2013,https://animestars.org/aniserials/video/vampires/172-demony-starshey-shkoly-2-sezon.html," Иссэй продолжает свой пусть к мечте. Завести свой гарем. Можно даже утверждать, что у него это получается, ведь у него дома теперь живет две красотки, а это большое достижение. Удивителен тот факт, что не смотря на его озабоченность, девушки не испытывают к нему отвращения, а наоборот тянутся к нему. Наша история продолжается... Иссэй постепенно начинает управлять своей силой...."
Демоны старшей школы 3 сезон, Гарем  Комедия  Приключения  Романтика  Сёнэн  Фэнтези  Этти,2015,https://animestars.org/aniserials/video/garem/173-demony-starshey-shkoly-3-sezon.html," Чего только не пережил Хёдо Иссей став демоном. И феникса он победил и Белого дракону дал прикурить. А все это ради своего любимого президента Риас Гремори. После того, как Белый Дракон вынужден был отступить, стало понятно, что пришло время усиленных тренировок. После заключения союза между Ангелами, Демонами и Падшими настало затишье перед бурей. Обычные тренировки по утрам уже..."
Демоны старшей школы 4 сезон, Гарем  Комедия  Мистика  Романтика  Сёнэн  Фэнтези  Этти,2018,https://animestars.org/aniserials/video/garem/249-demony-starshey-shkoly-4-sezon.html,"Многовековая вражда демонов и падших ангелов достигает кульминации: противники идут на любые уловки, дабы отвоевать привилегию всевластия, и продолжают воскрешать людей, пополняя собственную армию новыми прислужниками. Иссэй по-прежнему входит в дьявольскую группу Риас, но не перестает мечтать о повышении, гареме и послушных девочках, хотя иногда настойчивая порывистость подруг по..."
"День, когда я стала Богом", Драма  Фэнтези,2020,https://animestars.org/aniserials/video/drama/909-den-kogda-ja-stala-bogom.html,"Провести последние тридцать дней вместе со своими близкими и, возможно, отрываясь на полную. Скорее всего, именно так, Ёта Наруками проведет свои последние тридцать дней. Вне всяких сомнений конец будет для всех нас, только для мира главного героя он наступит через месяц. Трагическая ситуация нависла над миром, даже, парни, могут плакать. Однако, глядя на весь позитив вокруг,..."
Деревенская глубинка, Комедия  Повседневность  Сэйнэн  Школа,2013,https://animestars.org/aniserials/video/comedy/180-derevenskaya-glubinka.html," Хотару Итидзё до 11 лет жила в Токио. Потом ее семья переселилась в японскую глухомань. Здесь, чтобы купить какую-нибудь книжку нужно ехать на электричке целый час, а из магазинов всего продуктовый и кондитерская. Но это еще что! В местной школе, куда ей пришлось пойти учиться так мало детей, что всех сажают в один класс, не зависимо от возраста. Так, первоклассница Рэнгэ сидит в..."
Держись крепче! Скалолазки, Комедия  Спорт  Школа,2020,https://animestars.org/aniserials/video/comedy/902-derzhis-krepche-skalolazki.html,"Научные знания можно применять, даже, в спорте. Сегодня вы сидите в лаборатории и изучаете как же лучше создать лекарство для человека. Я у мамы инженер пытается изобрести очередную штуку для упрощения жизни. В любом случае, «башковитых» людей не стоит недооценивать. Однажды, их изобретение может помочь человечеству в целом. Пока вы трудитесь на заводе, ничего не имею против простых..."
Детектив Конан, Детектив  Драма  Комедия  Романтика  Сёнэн  Многосерийные,1996,https://animestars.org/aniserials/video/detective/233-detektiv-konan.html," Синъити Кудо очень проницательный и умный молодой человек, он с детства зачитывался рассказами о Шерлоке Холмсе и, несмотря на то, что ему всего 17 уже не раз смог помочь следствию в раскрытии преступлений. Бандиты однажды обратили на него внимание и решили отравить. «Апотоксин 4869» должен был его убить, но пилюля неожиданно превратила его в семилетнего мальчика. Кудо при этом..."
Детектив уже мёртв, Детектив  Драма  Комедия  Романтика  Школа  Новинки,2021,https://animestars.org/aniserials/video/detective/1123-detektiv-uzhe-mertv.html,"Увлекательная история в Аниме «Детектив уже мёртв» никого не оставит равнодушным. Бедного, простого, ничем не примечательного парня заставили следить за черным дипломатом люди в черном. Необычная завязка, не правда ли? Парень мог ожидать чего угодно, но никак не то, что будет происходить с ним в будущем. Он мог, как обычный парень, устроиться на работу, найти себе девушку, создать..."
Детектив-оборотень Инаба, Детектив  Кемонобито  Комедия  Мистика  Пародия  Сёнэн  Фантастика,2013,https://animestars.org/aniserials/video/detective/187-detektiv-oboroten-inaba.html," Оборотень детектив Хироси Инаба добросовестно служил полиции. Он слыл как детектив, способный найти преступника по единственному волоску. Его уникальная способность позволяет ему определить преступника, лишь прикасаясь к его волосам, а также по волосам человека Инаба может проникнуть в воспоминания подозреваемого, что повышает раскрываемость преступлений. Главный враг Инаба – козел..."
"Детройт, город металла", OVA  Комедия  Музыка  Пародия  Сэйнэн,2008,https://animestars.org/ova/1098-detrojt-gorod-metalla.html,"Музыка всегда была чем-то разносторонним. Люди никогда не слушали только один жанр. Сейчас ты слушаешь классику, а спустя пару песен тебя покрывают мурашки от прослушивания рока. Существуют, также, определенные группы людей, которые стремятся доказать превосходство того или иного жанра. Глупая затея, на самом то деле. На вкус и цвет товарищей нет, как говорится. Это относится не..."
Джибиэйт, Экшен  Боевые искусства  Самураи  Сэйнэн  Ужасы  Фэнтези,2020,https://animestars.org/aniserials/video/action/806-dzhibijejt.html,"Люди очень интересные существа. Интересные они тем, что они максимально сильно жаждут знаний. Эти знания могут быть полезными, а могут быть очень разрушительными для всего рода людского в целом. Благие намерения могут стать разрушительными и наоборот. Вспомните для чего создавался «Интернет». Ну, это все лирика, главная проблема состоит в том, что очередные проделки людей, а может и..."
Джульетта из школы-интерната, Комедия  Романтика  Сёнэн  Школа,2018,https://animestars.org/aniserials/video/comedy/359-dzhuletta-iz-shkoly-internata.html,"История развивается в престижной школе-интернате Гриджио. В этой школе студенты конфликтуют, поскольку разделились на две группы. Одни называют себя Чёрные Собаки, другие Белые Кошки. Эти названия символизируют их отношения, ведь они действительно не ладят как кошки с собаками. Изначально формированию групп способствовало то, что ученики приехали учиться в эту школу из разных стран:..."
Ди-Фрагменты!, Гарем  Комедия  Пародия  Повседневность  Романтика  Сэйнэн  Школа,2014,https://animestars.org/aniserials/video/garem/145-di-fragmenty.html," Приключения Кадзамы, главаря школьной банды из трех человек, начались с того момента, как он захотел прославиться нападением на школьный клуб создания игр, но там он и его друзья встретили четырех девушек, безуспешно пытающихся потушить пожар. Они на полном серьезе уверяли их, что имеют магические силы. Вот только Кадзаме и его друзьям в это не верится, тем более, что вся их..."
"Для тебя, Бессмертный", Драма  Мистика  Приключения  Сверхъестественное  Сёнэн  Трагедия  Новинки,2021,https://animestars.org/aniserials/video/drama/1092-dlja-tebja-bessmertnyj.html,"Это необычное нечто прибыло из космоса для одних известных ему целей на нашу планету. Способность принимать форму существ, которые умерли нельзя назвать самым удачным. Невозможно описать и передать эмоции, с которыми сталкивается это «Существо». Вы себе только представьте, каково это переносить всю ту боль, которое испытывает живое существо перед смертью. И вот, это нечто встретило..."
Дневник богини Нюйвы, Комедия  Романтика  Сёдзё  Фэнтези  Китайские,2016,https://animestars.org/aniserials/video/comedy/931-dnevnik-bogini-njujvy.html,"Сяо с экранизации «Дневник богини Нюйвы», очень скоро узнает о своем пророчестве. Сейчас, юной красавице исполняется двадцатилетие. За короткий период жизни, она не достигла совершенно ничего, является среднестатистической дамочкой, не подозревая, что судьба приготовила ряд испытаний, и она получит неземную силу. Внезапное появление Тай Ба, принесет в дом небольшую радость и..."
Дневник будущего, Детектив  Драма  Мистика  Психология  Романтика  Сверхъестественное  Сёнэн  Триллер  Ужасы  Этти,2011,https://animestars.org/aniserials/video/detective/341-dnevnik-buduschego.html,"Школьная жизнь наполнена разными событиями и у каждого человека они разные. Кто-то полностью окунается с головой в учебу и ему не важно мнение других и как на него смотрят. Кто-то наоборот хочет завести побольше друзей, погулять после школы и ему очень одиноко, когда не хватает внимания окружающих. А некоторые находят себе вторых половинок и наслаждаются розовой порой. Нашего..."
Дневник мистических существ, Вампиры  Приключения  Сверхъестественное  Китайские,2019,https://animestars.org/aniserials/video/vampires/531-dnevnik-misticheskih-suschestv.html,"Юному Хаожэню едва минуло 23 года, парень едва успел завершить обучение в университете и пока не сумел найти для себя достойной работы. К тому же у молодого человека не имеется и подруги, он сам считает себя настоящим неудачником, а собственная жизнь кажется ему чрезвычайно тоскливой и скучной. Хаожэнь принимает решение хотя бы немного изменить свое унылое существование. Парень..."
Дневник слизи-попаданца, Комедия  Повседневность  Сёнэн  Фэнтези,2021,https://animestars.org/aniserials/video/comedy/1097-dnevnik-slizi-popadanca.html,"Давайте немножко отвлечемся от основной истории любимой слизи. На ваших экранах «Дневник слизи-попаданца» где покажут простые будни слизи, которая умеет поглощать способности других, да и просто няшка. Вы где-то еще видели самую сильную слизь в мире? Не видели, если я этого не видел, то и вы не видели. Так вот, вернемся к повседневным будням слизи и её друзей. Их ждут самые..."
Дни Мидори, Драма  Комедия  Повседневность  Романтика  Сёнэн  Этти,2004,https://animestars.org/aniserials/video/drama/1028-dni-midori.html,"Савамура, в свои семнадцать лет получил клеймо хулигана. История «Дни Мидори» покажет, что на самом деле он совсем другой. Люди, окружающие его, почему-то видят в парне своего врага, при этом, стараются удерживаться от него на большом расстоянии. Но, что страшно, даже девушки не желают с ним общаться. Все попытки заполучить уважение со стороны женского пола, увенчались провалом, и..."
Доблесть 1 сезон, Комедия  Пародия  Приключения  Сёнэн  Фэнтези,2013,https://animestars.org/aniserials/video/comedy/918-doblest-1-sezon.html,"Придя на Землю, владыка ужаса, очень скоро будет подавлен и уничтожен. Рчимедас, с аниме «Доблесть», начинает путь от обычного юноши, и заканчивает величайшим победителем. Именно ему, тысячу лет назад, уже удалось справиться с могущественным демоном, и уничтожить его. Никто не догадывался, что малец, заплатил собственную жизнь, лишь бы помочь человечеству дышать на полную грудь...."
Доблесть 2 сезон, Комедия  Пародия  Приключения  Сёнэн  Фэнтези,2013,https://animestars.org/aniserials/video/comedy/919-doblest-2-sezon.html,"Пока все считают Короля Демоном могущественным и страшным злом, аниме «Доблесть» поведает о других последствиях. Оказывается, в лице маленькой девочки, год десяти, вселилось что-то, что вылезло с разлома и начало осуществлять план возмездия. Ещё тысячу лет назад, демону пришлось встретиться с воинами, и умереть. За свои юные годы, красавица натворила много беды, но сегодня, она..."
Доблесть рыцаря-неудачника, Гарем  Приключения  Романтика  Сёнэн  Фэнтези  Этти,2015,https://animestars.org/aniserials/video/garem/460-doblest-rycarya-neudachnika.html,"Очередной мир рыцарей. Рыцари то необычные японские школьники, как я вас провёл, а? Сам в шоке от такого. Ну ладно, пришло время вас познакомить с новой концепцией, на самом деле нет, превращения души в оружие. Да, в этом мире, так называемые маги-рыцари, могут материализовать оружие из своей души. Само же оружие может приобрести форму меча или же стать луком, копьем. На ваш выбор...."
"Добро пожаловать в ад, Ирума", Комедия  Романтика  Сверхъестественное  Сёнэн  Фэнтези,2019,https://animestars.org/aniserials/video/comedy/560-dobro-pozhalovat-v-ad-iruma.html,"Проблемы воспитания детей в семьях существуют очень давно. Проблемных детей или же проблемные семьи можно встретить в любом уголке планеты. У всех свои трудности. Финансы, вероисповедание, политические взгляды. Список можно продолжать бесконечно. Главная же суть в том, что дети впитывают в себя всё то, что происходит вокруг, они как губка, которая впитывает воду. С этим, главное, не..."
"Добро пожаловать в ад, Ирума 2 сезон", Комедия  Сверхъестественное  Сёнэн  Фэнтези  Школа  Новинки,2021,https://animestars.org/aniserials/video/comedy/1099-dobro-pozhalovat-v-ad-iruma-2-sezon.html,"Продолжение увлекательной истории паренька по имени Судзуки Ирума в аниме «Добро пожаловать в ад, Ирума 2 сезон» преподнесет вам новый виток его приключений. Ад – это место возможностей. Посудите сами и посмотрите на это глазами парня. Ирума не только начал ходить в школу, он обзавелся настоящими друзьями. Этого всего, парень, не смог сделать в мире людей. Кто еще сомневается в..."
Добро пожаловать в класс превосходства, Драма  Комедия  Психология  Романтика  Сэйнэн  Школа,2017,https://animestars.org/aniserials/video/drama/182-dobro-pozhalovat-v-klass-prevoshodstva.html," Действие разворачивается в необычной старшей школе Кодо Икусей, в которой учится меланхоличный главный герой Киётака. Он чудом попал в это престижное учебное заведение, и если повезет, то как и почти все остальные его выпускники он сможет получить по его окончании хорошую высокооплачиваемую работу и стать политиком. Но Киётака на данный момент больше беспокоит то, что у него нет..."
Добро пожаловать в Эн.Эйч.Кэй, Драма  Комедия  Психология  Романтика,2006,https://animestars.org/aniserials/video/drama/754-dobro-pozhalovat-v-jenjejchkjej.html,"А вы верите в теорию мирового заговора? Думаю, что такие есть среди вас. В такую штуку верить куда проще, чем стараться проверять информацию, делать логические выводы и заключения. Ты будешь из-за всех сил списывать любые проблемы на то, что где-то в бункере сидит тайное мировое правительство, которое, в свою очередь и руководит всем происходящем на нашей планете. Вы только..."
Добро пожаловать на паркет, Драма  Комедия  Романтика  Сёнэн  Спорт  Школа,2017,https://animestars.org/aniserials/video/drama/195-dobro-pozhalovat-na-parket.html," Главный герой Татаро Фуджита долгое время не имел никаких увлечений. Он не занимался спортом, не ходил в музыкальную школу, не рисовал. И вдруг неожиданно он увлекся красивой девочкой из своей школы, и вслед за ней пошел в танцевальную школу. На пороге школы его чуть было не ограбили, но у него ничего с собой не было. А от назойливых сверстников парня избавил высокий мотоциклист,..."
Догма дракона, Экшен  Приключения  Фэнтези,2020,https://animestars.org/aniserials/video/action/897-dogma-drakona.html,"Страшно себе представить все ужасы войны. Бедный парень познал на себе всю боль утрат и тягот войны. Ладно бы просто война, бедолагу убил дракон. Его бы душе упокоится с миром, только жажда отомстить была сильнее. Бедолага вернулся к жизни без своего сердца. Это самое сердце и украл дракон. Теперь, главному герою по имени Итан предстоит вернуть своё сердце из лап чудовища. Не зря же..."
Доктор для девушек-монстров, Кемонобито  Комедия  Романтика  Фэнтези  Этти,2020,https://animestars.org/aniserials/video/kemonobito/797-doktor-dlja-devushek-monstrov.html,"Кто знает, быть может в будущем для человечества не будет необычным встретить Ламию на улицах города. Звучит крипово, конечно, но никто точно не знает, куда приведет любопытство людей. Жажда знаний – палка о двух концах. Пускай тут будет только позитив, ведь кошачьи ушки и хвостик просто ми ми ми. Ладно, шутки в сторону, поговорим о происходящем на наших экранах. Перед вами очень..."
Доктор Рамунэ - специалист по таинственным болезням, Комедия  Мистика  Психология  Сверхъестественное  Сёнэн,2021,https://animestars.org/aniserials/video/comedy/1071-doktor-ramunje-specialist-po-tainstvennym-boleznjam.html,"Перед вами, точнее не так, на ваших экранах будет красоваться очень необычная картина. С самих древних времен профессия врача считалась очень почетной. При королях всегда были лекари, которые лечили от недуга его величество. Люди сами обращали внимание на то, как та или иная трава влияет на организм человека. Не зря же в древние времена люди лечились травами. Были еще и страны с..."
Доктор Стоун, Постапокалиптика  Приключения  Сёнэн  Фантастика,2019,https://animestars.org/aniserials/video/postapocalypse/512-doktor-stoun.html,"Все люди на Земле внезапно превращаются в камень. Это происходит практически мгновенно сразу со всеми людьми. Кто-то был дома, кто-то в страхе бежал по улице, кто-то сидел за партой в школе или институте или пополнял свои запасы продуктов в супермаркете. Все-все стали обездвижены и каменны. Почему это произошло и живы ли они, будучи каменными не известно. По прошествии очень..."
Доктор Стоун 2 сезон, Комедия  Постапокалиптика  Приключения  Сёнэн  Фантастика,2021,https://animestars.org/aniserials/video/comedy/1068-doktor-stoun-2-sezon.html,"Превращение человека в камень знакомо нам еще с мифов про медузу Горгону, которая одним своим взглядом превращала человека в камень. Аниме «Доктор Стоун» покажет вам немного другой взгляд на вещи. Вы, натурально, увидите возвращение технологий в мир каменного века. Проснувшись после сна, длившегося несколько тысяч лет, вы не будете удивляться тому, что вкруг вас нет ничего живого...."
Дом теней, Мистика  Повседневность  Сверхъестественное  Сэйнэн,2021,https://animestars.org/aniserials/video/mystery/1093-dom-tenej.html,"Вы когда-то видели человека без лица? Странный вопрос, но вы только задумайтесь. Как можно смотреть на человека, у которого нет лица. Человек ли это вовсе, либо это некое существо, которое попало к нам неизвестно откуда? Аниме «Дом теней» расскажет нам историю о тех, кто служат хозяевам дома, у которых, попросту, нет лиц. Мои слова не должны вас смущать, дорогие читатели. Вы должны..."
